Institution Name,State,Applied,NYA,Accepted,Matric
Albany Medical College,NY,128,128,0,0
Albert Einstein College of Medicine,NY,83,83,0,0
Anne Burnett Marion School of Medicine at TCU,TX,54,49,5,0
Baylor College of Medicine,TX,2,2,0,0
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,MA,95,91,4,0
Brody School of Medicine at East Carolina University,NC,1,1,0,0
California Northstate University College of Medicine,CA,102,95,7,0
California University of Science and Medicine,CA,152,144,8,0
Carle Illinois College of Medicine,IL,26,26,0,0
Case Western Reserve University School of Medicine,OH,53,48,5,0
Central Michigan University College of Medicine,MI,45,45,0,0
Charles E. Schmidt College of Medicine at Florida Atlantic University,FL,29,27,2,0
Charles R. Drew University Of Medicine and Science College of Medicine,CA,19,19,0,0
Chicago Medical School at Rosalind Franklin University of Medicine & Science,IL,108,105,3,0
Columbia University Vagelos College of Physicians and Surgeons,NY,38,38,0,0
Cooper Medical School of Rowan University,NJ,32,32,0,0
Creighton University School of Medicine,NE,60,55,5,0
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,NY,46,46,0,0
Drexel University College of Medicine,PA,130,128,2,0
Duke University School of Medicine,NC,44,44,0,0
East Tennessee State University James H. Quillen College of Medicine,TN,12,12,0,0
Eastern Virginia Medical School,VA,60,60,0,0
Emory University School of Medicine,GA,90,90,0,0
Florida International University Herbert Wertheim College of Medicine,FL,32,31,1,0
Florida State University College of Medicine,FL,19,19,0,0
Frank H. Netter MD School of Medicine at Quinnipiac University,CT,72,70,2,0
Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,2,2,0,0
Geisel School of Medicine at Dartmouth,NH,75,73,2,0
Geisinger Commonwealth School of Medicine,PA,39,39,0,0
George Washington University School of Medicine and Health Sciences,DC,150,150,0,0
Georgetown University School of Medicine,DC,139,136,3,0
Hackensack Meridian School of Medicine,NJ,50,48,2,0
Harvard Medical School,MA,42,42,0,0
Howard University College of Medicine,DC,34,34,0,0
Icahn School of Medicine at Mount Sinai,NY,60,60,0,0
Indiana University School of Medicine,IN,32,32,0,0
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,NY,49,48,1,0
Johns Hopkins University School of Medicine,MD,29,29,0,0
Joint Medical Program UC B/SF,CA,2,2,0,0
Kaiser Permanente Bernard J. Tyson School of Medicine,CA,152,150,2,0
Keck School of Medicine of the University of Southern California,CA,195,185,10,0
Kirk Kerkorian School of Medicine at UNLV,NV,18,18,0,0
Lewis Katz School of Medicine at Temple University,PA,99,99,0,0
Loma Linda University School of Medicine,CA,70,69,1,0
Louisiana State University School of Medicine in New Orleans,LA,17,17,0,0
Louisiana State University School of Medicine in Shreveport,LA,14,14,0,0
Loyola University Chicago Stritch School of Medicine,IL,96,93,3,0
Marshall University Joan C. Edwards School of Medicine,WV,3,3,0,0
Mayo Clinic Alix School of Medicine,MN,48,48,0,0
Medical College of Georgia at Augusta University,GA,7,7,0,0
Medical College of Wisconsin,WI,66,65,1,0
Medical University of South Carolina College of Medicine,SC,4,4,0,0
Meharry Medical College,TN,30,30,0,0
Michigan State University College of Human Medicine,MI,42,42,0,0
Morehouse School of Medicine,GA,25,25,0,0
NYU Grossman School of Medicine,NY,60,60,0,0
NYU Long Island School of Medicine,NY,34,34,0,0
New York Medical College,NY,105,102,3,0
Northeast Ohio Medical University,OH,19,17,2,0
Northwestern University The Feinberg School of Medicine,IL,58,58,0,0
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,31,31,0,0
Oakland University William Beaumont School of Medicine,MI,67,65,2,0
Ohio State University College of Medicine,OH,47,46,1,0
Oregon Health & Science University School of Medicine,OR,71,71,0,0
Pennsylvania State University College of Medicine,PA,87,87,0,0
Perelman School of Medicine at the University of Pennsylvania,PA,28,28,0,0
Ponce Health Sciences University School of Medicine,PR,7,7,0,0
Renaissance School of Medicine at Stony Brook University,NY,31,31,0,0
"Robert Larner, M.D., College of Medicine at the University of Vermont",VT,97,96,1,0
Rush Medical College of Rush University Medical Center,IL,91,90,1,0
Rutgers New Jersey Medical School,NJ,28,28,0,0
"Rutgers, Robert Wood Johnson Medical School",NJ,30,29,1,0
SUNY Downstate Health Sciences University College of Medicine,NY,65,64,1,0
Saint Louis University School of Medicine,MO,48,48,0,0
San Juan Bautista School of Medicine,PR,2,2,0,0
Sidney Kimmel Medical College at Thomas Jefferson University,PA,92,91,1,0
Southern Illinois University School of Medicine,IL,1,1,0,0
Spencer Fox Eccles School of Medicine at the University of Utah,UT,14,14,0,0
Stanford University School of Medicine,CA,104,102,2,0
State University of New York Upstate Medical University Alan and Marlene Norton College of Medicine,NY,48,48,0,0
Texas A&M Uni. System HSC Col. of Medicine,TX,1,1,0,0
Texas A&M University School of Medicine,TX,1,1,0,0
The University of Toledo College of Medicine and Life Sciences,OH,41,41,0,0
The Warren Alpert Medical School of Brown University,RI,67,67,0,0
Tufts University School of Medicine,MA,118,116,2,0
Tulane University School of Medicine,LA,120,116,4,0
UCLA/Drew Medical Education Program,CA,49,49,0,0
USF Health Morsani College of Medicine,FL,35,35,0,0
UT Southwestern,TX,1,1,0,0
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,MD,11,10,1,0
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,15,15,0,0
University of Arizona College of Medicine - Phoenix,AZ,99,95,4,0
University of Arizona College of Medicine â€“ Tucson,AZ,78,78,0,0
University of Arkansas for Medical Sciences College of Medicine,AR,8,8,0,0
"University of California, Davis, School of Medicine",CA,203,199,4,0
"University of California, Irvine, School of Medicine",CA,208,206,2,0
"University of California, Los Angeles David Geffen School of Medicine",CA,179,177,2,0
"University of California, Riverside School of Medicine",CA,184,183,1,0
"University of California, San Diego School of Medicine",CA,208,203,5,0
"University of California, San Francisco, School of Medicine",CA,151,151,0,0
University of Central Florida College of Medicine,FL,23,23,0,0
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,IL,44,44,0,0
University of Cincinnati College of Medicine,OH,44,43,1,0
University of Colorado School of Medicine,CO,108,105,3,0
University of Connecticut School of Medicine,CT,16,16,0,0
University of Florida College of Medicine,FL,15,15,0,0
"University of Hawaii, John A. Burns School of Medicine",HI,40,40,0,0
University of Illinois College of Medicine,IL,65,64,1,0
University of Iowa Roy J. and Lucille A. Carver College of Medicine,IA,19,18,1,0
University of Kansas School of Medicine,KS,10,10,0,0
University of Kentucky College of Medicine,KY,13,13,0,0
University of Louisville School of Medicine,KY,18,18,0,0
University of Maryland School of Medicine,MD,37,37,0,0
University of Massachusetts T.H. Chan School of Medicine,MA,35,33,2,0
University of Miami Leonard M. Miller School of Medicine,FL,86,84,2,0
University of Michigan Medical School,MI,66,66,0,0
University of Minnesota Medical School,MN,25,25,0,0
University of Missouri-Columbia School of Medicine,MO,14,14,0,0
University of Missouri-Kansas City School of Medicine,MO,6,6,0,0
University of Nebraska College of Medicine,NE,8,8,0,0
"University of Nevada, Reno School of Medicine",NV,15,15,0,0
University of New Mexico School of Medicine,NM,3,3,0,0
University of North Carolina at Chapel Hill School of Medicine,NC,29,29,0,0
University of North Dakota School of Medicine and Health Sciences,ND,3,3,0,0
University of Oklahoma College of Medicine,OK,6,6,0,0
University of Pittsburgh School of Medicine,PA,55,55,0,0
University of Rochester School of Medicine and Dentistry,NY,48,48,0,0
University of South Carolina School of Medicine Columbia,SC,7,7,0,0
University of South Carolina School of Medicine Greenville,SC,11,11,0,0
"University of South Dakota, Sanford School of Medicine",SD,1,1,0,0
University of Tennessee Health Science Center College of Medicine,TN,5,5,0,0
University of Texas Medical Branch,TX,1,1,0,0
University of Texas Medical School at Houston,TX,1,1,0,0
University of Texas Medical School at San Antonio,TX,2,2,0,0
University of Virginia School of Medicine,VA,25,23,2,0
University of Washington School of Medicine,WA,68,68,0,0
University of Wisconsin School of Medicine and Public Health,WI,40,39,1,0
Vanderbilt University School of Medicine,TN,33,32,1,0
Virginia Commonwealth University School of Medicine,VA,62,62,0,0
Virginia Tech Carilion School of Medicine,VA,51,50,1,0
Wake Forest University School of Medicine,NC,85,84,1,0
Washington State University Elson S. Floyd College of Medicine,WA,15,15,0,0
Washington University in St. Louis School of Medicine,MO,29,29,0,0
Wayne State University School of Medicine,MI,66,64,2,0
Weill Cornell Medicine,NY,47,47,0,0
West Virginia University School of Medicine,WV,26,25,1,0
Western Michigan University Homer Stryker M.D. School of Medicine,MI,39,39,0,0
Wright State University Boonshoft School of Medicine,OH,31,31,0,0
Yale School of Medicine,CT,44,44,0,0